YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE_0,SUBSTRTE,NOTES,ENTERED BY,CHECKED BY,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5,DAY
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,1,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,1,O,CHCR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,2,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,2,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,3,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,3,O,FIBR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,4,I,FIBR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,4,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,5,I,PAPA,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,5,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,5.666666667,I,PAPA,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,6.151515152,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,6.636363636,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,7.121212121,O,PAPA,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,7.606060606,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,8.090909091,O,SL,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,8.575757576,I,PORO,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,9.060606061,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,9.545454545,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,10.03030303,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,10.51515152,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,11,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,11.96969697,I,GRAM,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,12.45454545,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,12.93939394,I,CHCR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,13.42424242,O,BUSP,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,13.90909091,I,GRAM,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,14.39393939,O,CHCR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,14.87878788,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,15.36363636,O,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,15.84848485,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,16.33333333,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,16.81818182,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,17.3030303,O,PORO,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,17.78787879,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,18.27272727,O,FALI,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,18.75757576,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,19.24242424,O,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,19.72727273,I,BUSP,BM,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,20.21212121,O,BUSP,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,20.6969697,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,21.18181818,O,ES,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,21.66666667,I,COTR,BM,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,22.15151515,O,BUSP,BM,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,22.63636364,I,CYPU,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,23.12121212,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,23.60606061,I,GRAM,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,24.09090909,O,BUSP,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,24.57575758,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,25.06060606,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,25.54545455,I,BUSP,BL,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,26.03030303,O,BUSP,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,26.51515152,I,COTR,C,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,27,O,GRAM,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,27.96969697,I,HJ,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,28.45454545,O,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,28.93939394,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,29.42424242,O,COTR,S,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,29.90909091,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,30.39393939,O,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,30.87878788,I,FALI,C,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,31.36363636,O,BUSP,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,31.84848485,I,BUSP,BM,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,32.33333333,O,FALI,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,32.81818182,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,33.3030303,O,COTR,BM,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,33.78787879,I,COTR,BS,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,34.27272727,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,34.75757576,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,35.24242424,O,PTSE,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,35.72727273,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,36.21212121,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,36.6969697,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,37.18181818,O,GRAM,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,37.66666667,I,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,38.15151515,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,38.63636364,I,ES,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,39.12121212,O,COTR,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,39.60606061,I,PAPA,B,,,,,,,,,24
2016,8,2016-08-24T00:00:00Z,Fort Weatherill,4,40.09090909,O,ES,B,,,,,,,,,24
